令和２年,人口動態統計,,
上巻　総覧　第３．３表−１　都道府県（特別区−指定都市再掲）別にみた人口動態総覧

　　１）　都道府県別の表章は出生は子の住所、死亡は死亡者の住所、死産は母の住所、婚姻は夫の住所、離婚は別居する前の住所による。
　　２）　都道府県については総務省統計局「令和２年国勢調査の日本人人口（按分済み）」、特別区−指定都市については「令和２年国勢調査」に基づいて厚生労働省で推計した日本人人口である。

,人口,出生数,死亡数,（再掲）,,自　然,死産数,,,周産期死亡数,,,婚姻件数,離婚件数
,,,,乳児死亡数,新生児,増減数,総数,自然死産,人工死産,総数,22週以後,早期新生児,,
,,,,,死亡数,,,,,,の死産数,死亡数,,
全　国,…,840835,1372755,1512,704,-531920,17278,8188,9090,2664,2112,552,525507,193253
01 北海道,…,29523,65078,59,25,-35555,728,304,424,92,75,17,20904,9070
02 青森県,…,6837,17905,18,15,-11068,145,87,58,32,17,15,4032,1915
03 岩手県,…,6718,17204,8,3,-10486,150,90,60,21,19,2,3918,1679
04 宮城県,…,14480,24632,27,15,-10152,311,141,170,56,41,15,8921,3553
05 秋田県,…,4499,15379,9,4,-10880,98,63,35,18,15,3,2686,1213
06 山形県,…,6217,15348,14,9,-9131,119,66,53,22,16,6,3530,1362
07 福島県,…,11215,24515,28,11,-13300,261,106,155,44,37,7,6674,2969
08 茨城県,…,17389,32931,45,14,-15542,340,157,183,43,33,10,10622,4403
09 栃木県,…,11808,21702,25,13,-9894,262,124,138,44,33,11,7396,3037
10 群馬県,…,11660,23286,18,10,-11626,276,132,144,44,35,9,7044,2857
11 埼玉県,…,47328,70758,75,32,-23430,1012,447,565,133,107,26,29260,10659
12 千葉県,…,40168,62118,84,40,-21950,833,409,424,160,128,32,24996,9187
13 東京都,…,99661,121219,135,61,-21558,2076,955,1121,296,252,44,73931,20783
14 神奈川県,…,60865,84601,96,51,-23736,1357,574,783,200,157,43,39641,13509
15 新潟県,…,12981,29455,20,11,-16474,239,114,125,41,33,8,7570,2637
16 富山県,…,6256,12981,11,5,-6725,116,53,63,22,17,5,3720,1239
17 石川県,…,7712,12721,13,6,-5009,131,65,66,29,25,4,4336,1474
18 福井県,…,5313,9286,24,14,-3973,93,50,43,22,11,11,3029,1052
19 山梨県,…,5184,9796,11,7,-4612,103,66,37,24,17,7,3182,1296
20 長野県,…,12864,25428,26,15,-12564,258,133,125,49,37,12,7701,2910
21 岐阜県,…,12092,22720,22,10,-10628,206,101,105,26,19,7,7003,2834
22 静岡県,…,22497,42191,46,22,-19694,393,194,199,79,61,18,13846,5474
23 愛知県,…,55613,70518,95,48,-14905,1012,533,479,168,132,36,35390,11713
24 三重県,…,11141,20716,27,14,-9575,211,92,119,32,23,9,6855,2759
25 滋賀県,…,10437,13039,19,11,-2602,184,93,91,28,20,8,5878,2050
26 京都府,…,16440,26860,21,6,-10420,297,148,149,53,47,6,10197,3742
27 大阪府,…,61878,91644,112,46,-29766,1247,514,733,150,117,33,40989,14832
28 兵庫県,…,36953,58654,62,25,-21701,706,363,343,120,101,19,21964,8370
29 奈良県,…,7831,14678,13,6,-6847,158,73,85,26,20,6,4574,1831
30 和歌山県,…,5732,12610,8,2,-6878,111,45,66,20,18,2,3527,1529
31 鳥取県,…,3783,7096,5,2,-3313,88,52,36,13,11,2,2098,814
32 島根県,…,4473,9585,12,8,-5112,91,60,31,24,18,6,2398,877
33 岡山県,…,13521,21788,20,8,-8267,267,121,146,33,27,6,7852,2986
34 広島県,…,19606,30244,30,13,-10638,388,200,188,62,52,10,11765,4233
35 山口県,…,8203,18477,12,4,-10274,148,80,68,18,15,3,4810,1988
36 徳島県,…,4521,9886,16,9,-5365,93,48,45,20,11,9,2609,1081
37 香川県,…,6179,12183,9,5,-6004,124,55,69,24,19,5,3786,1498
38 愛媛県,…,8102,18036,7,3,-9934,193,101,92,27,24,3,4903,2001
39 高知県,…,4082,9998,11,4,-5916,76,33,43,14,11,3,2440,1149
40 福岡県,…,38966,53273,71,32,-14307,820,373,447,109,87,22,22745,8955
41 佐賀県,…,6004,9963,11,6,-3959,116,72,44,25,20,5,3031,1235
42 長崎県,…,9182,17646,22,11,-8464,192,96,96,26,16,10,4900,1976
43 熊本県,…,13011,21156,22,8,-8145,282,132,150,33,28,5,6793,2797
44 大分県,…,7582,14444,13,7,-6862,159,91,68,36,30,6,4406,1889
45 宮崎県,…,7720,14140,17,7,-6420,195,99,96,19,17,2,4148,1905
46 鹿児島県,…,11638,21501,24,7,-9863,278,123,155,34,27,7,6131,2521
47 沖縄県,…,14943,12390,39,19,2553,323,153,170,52,35,17,7376,3410
外　国,…,27,120,-,-,-93,5,3,2,1,1,-,・,・
不　詳,…,・,856,-,-,・,7,4,3,-,-,-,・,・
50 東京都の区部,…,72621,80955,97,40,-8334,1520,698,822,203,179,24,57796,14873
51 札幌市,…,12259,20261,20,7,-8002,295,116,179,32,28,4,9131,3691
52 仙台市,…,7843,9165,15,8,-1322,147,59,88,25,17,8,5025,1642
53 さいたま市,…,10006,11219,9,6,-1213,193,94,99,24,20,4,5999,1816
54 千葉市,…,5976,9352,15,8,-3376,119,63,56,25,19,6,3959,1438
55 横浜市,…,24828,33619,42,28,-8791,559,230,329,87,63,24,16100,5383
56 川崎市,…,12480,11594,18,8,886,258,109,149,41,36,5,8761,2215
57 相模原市,…,4563,6671,8,6,-2108,114,44,70,16,10,6,2880,1128
58 新潟市,…,5154,8974,4,2,-3820,96,49,47,18,16,2,3100,960
59 静岡市,…,4254,8239,8,6,-3985,79,38,41,17,12,5,2735,1024
60 浜松市,…,5365,8454,12,4,-3089,91,47,44,19,16,3,3193,1113
61 名古屋市,…,17538,23120,23,13,-5582,304,145,159,49,36,13,12431,3897
62 京都市,…,9251,14880,15,4,-5629,165,76,89,35,31,4,6270,2182
63 大阪市,…,20152,29598,44,19,-9446,442,182,260,44,31,13,16262,5219
64 堺市,…,5827,8722,9,3,-2895,114,50,64,17,15,2,3568,1310
65 神戸市,…,9765,15870,19,5,-6105,214,102,112,39,36,3,6251,2407
66 岡山市,…,5627,6786,5,2,-1159,119,54,65,12,10,2,3413,1154
67 広島市,…,9179,10296,14,7,-1117,183,92,91,28,23,5,5581,1894
68 北九州市,…,6459,11256,13,6,-4797,131,63,68,20,14,6,4069,1675
69 福岡市,…,13079,12588,25,13,491,284,125,159,32,25,7,8678,2760
70 熊本市,…,6101,7090,16,7,-989,114,46,68,14,10,4,3386,1241
